kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
france,Q150,français,none,0,0,0.0,5.85,3.0,8.0,37.6,45.4,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.41
france,Q70802,Troisième République française,none,0,0,1.1,4.43,3.0,0.0,37.3,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.81
france,Q16275867,France,label,1,0,1.1,1.39,1.0,0.0,22.1,0.0,1.0,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,35.33
france,Q55740543,La France savante,none,0,0,1.6,0.0,1.0,0.0,22.1,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.86
france,Q151340,bataille de France,none,0,0,1.1,4.33,1.0,0.0,27.0,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.55
france,Q212429,France métropolitaine,none,0,0,1.1,4.19,1.0,0.0,26.0,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.97
france,Q9348,Parmigianino,none,0,0,0.0,3.91,1.0,0.0,26.4,0.0,0.011,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.05
france,Q163900,François Xavier,none,0,0,0.5,4.49,1.0,0.0,26.4,0.0,0.118,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.32
france,Q3749980,Francesco Filippini,none,0,0,0.0,3.58,1.0,0.0,26.4,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.71
france,Q1450557,équipe de France de football des moins de 18 ans,none,0,0,1.1,2.89,1.0,3.0,11.3,25.4,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.35
france,Q1124861,France Télévisions,none,0,0,1.1,3.66,2.0,0.0,31.9,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.5
france,Q208258,France Gall,none,0,0,0.5,4.2,1.0,0.0,26.4,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.68
france,Q19908,France Culture,none,0,0,1.1,3.04,1.0,0.0,19.5,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.84
france,Q736065,Francesco Solimena,none,0,0,0.0,3.37,1.0,0.0,26.4,0.0,0.018,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,2.8
france,Q358147,Francesco Albani,none,0,0,0.0,3.5,1.0,0.0,26.4,0.0,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.01
france,Q463883,Frances Marion,none,0,0,0.5,3.99,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.72
france,Q1044328,Le Nouvel Obs,none,0,0,0.5,3.22,1.0,0.0,25.1,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.82
france,Q698667,Francesco Clemente,none,0,0,0.0,3.18,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.65
france,Q366657,Francesco Moser,none,0,0,0.0,3.4,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.76
france,Q526454,Francesco Gavazzi,none,0,0,0.0,3.14,1.0,0.0,26.4,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.63
france,Q311674,Francesco Landini,none,0,0,0.5,3.5,1.0,0.0,26.4,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.14
france,Q166180,France 24,none,0,0,1.1,3.95,3.0,0.0,32.6,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.69
france,Q223725,Francesco Hayez,none,0,0,0.0,3.91,1.0,0.0,26.4,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.69
france,Q1031,France Prešeren,none,0,0,0.5,4.42,1.0,0.0,26.4,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.43
france,Q19290878,Francesc Juanola i Reixach,none,0,0,0.0,0.69,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.41
france,Q1440772,France 5,none,0,0,1.1,3.47,1.0,0.0,20.7,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.6
university,Q3918,university,label,1,0,2.2,5.32,1.0,9.0,36.8,52.3,0.286,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,66.36
university,Q1622272,university teacher,none,0,0,2.2,3.0,1.0,7.0,14.2,49.1,0.118,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.02
university,Q34433,University of Oxford,none,0,0,2.2,4.96,5.0,0.0,48.0,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.2
university,Q13371,Harvard University,none,0,0,1.6,5.0,4.0,0.0,38.9,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.49
university,Q41506,Stanford University,none,0,0,2.2,4.71,4.0,0.0,37.5,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.03
university,Q219563,University of Washington,none,0,0,2.7,4.38,4.0,0.0,37.2,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.52
university,Q35794,University of Cambridge,none,0,0,2.7,4.88,3.0,0.0,40.2,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.21
university,Q168756,"University of California, Berkeley",none,0,0,2.2,4.47,4.0,0.0,40.3,0.0,0.105,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.79
university,Q230492,University of Michigan,none,0,0,2.7,4.39,2.0,0.0,29.7,0.0,0.087,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.65
university,Q7842,University of Tokyo,none,0,0,1.6,4.41,4.0,0.0,42.4,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.35
university,Q503424,University of Leeds,none,0,0,1.6,3.89,2.0,0.0,33.0,0.0,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.05
university,Q492467,University of Auckland,none,0,0,2.2,3.91,1.0,0.0,28.8,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.68
university,Q21578,Princeton University,none,0,0,2.7,4.6,5.0,0.0,44.8,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.79
university,Q131252,University of Chicago,none,0,0,1.6,4.47,4.0,0.0,38.0,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.29
university,Q838330,University of Wisconsin–Madison,none,0,0,2.7,4.08,3.0,0.0,36.9,0.0,0.105,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.42
university,Q49117,University of Pennsylvania,none,0,0,2.2,4.43,4.0,0.0,38.9,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.19
university,Q180865,University of Toronto,none,0,0,2.7,4.41,3.0,0.0,36.1,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.86
university,Q49210,New York University,none,0,0,2.7,4.36,5.0,0.0,42.1,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.65
university,Q165980,University of Vienna,none,0,0,2.2,4.47,2.0,0.0,33.3,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.8
university,Q2467461,academic department,none,0,0,2.7,3.18,0.0,12.0,0.0,49.7,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,13.03
university,Q238101,University of Minnesota,none,0,0,3.3,4.08,6.0,0.0,50.1,0.0,0.133,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.69
university,Q192334,University of North Carolina at Chapel Hill,none,0,0,3.3,4.13,2.0,0.0,29.7,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.35
university,Q432475,University of Canterbury,none,0,0,3.3,3.53,2.0,0.0,33.3,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.25
university,Q152087,Humboldt-Universität zu Berlin,none,0,0,2.7,4.38,4.0,0.0,44.7,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.6
university,Q1201513,University of Otago,none,0,0,2.2,3.47,2.0,0.0,26.8,0.0,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.44
university,Q180958,faculty,none,0,0,2.7,4.22,1.0,5.0,36.8,45.2,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.44
university,Q55044,Ludwig-Maximilians-Universität München,none,0,0,2.2,4.33,4.0,0.0,41.0,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.84
university,Q4614,University of Southern California,none,0,0,1.6,4.2,4.0,0.0,37.5,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.26
university,Q185246,Uppsala University,none,0,0,2.2,4.3,2.0,0.0,32.5,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.57
university,Q235034,University of Pittsburgh,none,0,0,2.2,4.06,5.0,0.0,43.4,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.56
university,Q457281,University of Illinois Urbana–Champaign,none,0,0,3.3,3.81,4.0,0.0,40.0,0.0,0.133,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.86
university,Q193196,University College London,none,0,0,2.2,4.25,4.0,0.0,45.2,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.96
university,Q189441,Jagiellonian University,none,0,0,2.2,4.29,2.0,0.0,35.9,0.0,0.105,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.06
university,Q170027,University of London,none,0,0,2.2,4.45,4.0,0.0,45.1,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.51
university,Q213439,University of Virginia,none,0,0,2.2,4.2,2.0,0.0,29.7,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.24
university,Q230899,University of Manchester,none,0,0,2.7,4.2,3.0,0.0,36.7,0.0,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.77
university,Q144488,University of Warsaw,none,0,0,1.6,4.16,2.0,0.0,40.7,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.06
university,Q49213,University of Texas at Austin,none,0,0,2.7,3.99,2.0,0.0,29.7,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.73
university,Q201492,McGill University,none,0,0,2.7,4.2,3.0,0.0,33.9,0.0,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.64
university,Q501758,University of Florida,none,0,0,2.7,3.99,5.0,0.0,42.7,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.58
university,Q152838,University of Göttingen,none,0,0,2.2,4.41,5.0,0.0,45.9,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.73
university,Q151510,Heidelberg University,none,0,0,2.7,4.43,6.0,0.0,48.5,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.46
university,Q152171,University of Bonn,none,0,0,2.7,4.11,6.0,0.0,49.5,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.19
university,Q219615,University of Barcelona,none,0,0,2.7,4.04,4.0,0.0,42.0,0.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.69
university,Q622664,Université de Californie à San Diego,none,0,0,1.6,3.89,2.0,0.0,24.9,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.23
university,Q503415,université du Maryland,none,0,0,1.6,3.85,4.0,0.0,45.0,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.98
