kw_norm,qid,label,ctx_sim,lbl_sim,canon,alias_exact_flag,penalty,exact_bonus,alias_bonus,total,p31_ids,p101_ids,p31_cnt,p101_cnt,p31_fuzzy_ctx
tem,Q16884395,templeman,0.0,50.0,4.4,False,0,0.0,0.0,35.1,Q101352,,1,0,33.3
tem,Q325555,recaș,0.0,46.2,11.0,False,0,0.0,0.0,53.3,Q16858213,,1,0,27.9
tem,Q5831909,template:cc-by-sa-2.5,0.0,25.0,15.3,False,0,0.0,0.0,57.3,Q110010043,,1,0,15.2
tem,Q18045563,tnmd,0.0,100.0,7.2,True,0.0,0.0,1.0,106.3,Q7187,,1,0,22.1
tem,Q7001642,template:country data mozambique,0.0,17.1,15.2,False,0,0.0,0.0,53.6,Q108783631,,1,0,11.5
tem,Q6307983,template:user pt-2,0.0,28.6,15.6,False,0,0.0,0.0,59.9,Q19842659,,1,0,22.0
tem,Q7841462,triethylenemelamine,0.0,100.0,8.8,True,0.0,0.0,1.0,109.8,Q113145171,,1,0,32.1
tem,Q16970,église,0.0,33.3,18.6,False,0,0.0,0.0,70.5,Q811102,,1,0,21.1
tem,Q842402,mandir,0.0,37.5,15.0,False,0,0.0,0.0,60.0,,,0,0,0.0
tem,Q44539,temple,0.0,66.7,17.3,False,0,0.0,0.0,78.4,,,0,0,0.0
tem,Q34627,synagogue,0.0,42.9,17.6,False,0,0.0,0.0,69.8,,,0,0,0.0
tem,Q175166,tempera,0.0,60.0,15.5,False,0,0.0,0.0,70.4,,,0,0,0.0
tem,Q5393308,temple bouddhiste,0.0,30.0,13.2,False,0,0.0,0.0,51.6,,,0,0,0.0
tem,Q425088,témozolomide,0.0,26.7,12.9,False,0,0.0,0.0,51.3,Q113145171,,1,0,32.1
tem,Q83404,timișoara,0.0,54.5,15.4,False,0,0.0,0.0,74.0,Q1187811;Q1549591;Q2264924;Q34843301;Q640364,,5,0,43.1
tem,Q1420239,université temple,0.0,30.0,11.5,False,0,0.0,0.0,50.6,Q23002039;Q2668072;Q3918,,3,0,43.6
tem,Q2635276,temps immémorial,1.8,31.6,8.5,False,0,0.0,0.0,44.4,Q187931;Q3062294,,2,0,31.4
tem,Q11471,temps,0.0,75.0,19.7,False,0,0.0,0.0,92.0,Q181175;Q58415929,,2,0,39.7
tem,Q158106,arrondissement de tempelhof-schöneberg,0.0,26.1,12.1,False,0,0.0,0.0,48.2,Q821435,,1,0,20.8
tem,Q929313,temponade cardiaque,0.0,27.3,12.8,False,0,0.0,0.0,52.4,Q112193867;Q18553676,,2,0,44.2
tem,Q3517772,temps des fêtes,0.0,33.3,13.0,False,0,0.0,0.0,53.8,Q11483816,,1,0,23.4
tem,Q408265,lorazépam,0.0,60.0,14.5,False,0,0.0,0.0,69.3,Q113145171,,1,0,32.1
tem,Q81054,tempête,0.0,60.0,17.5,False,0,0.0,0.0,78.4,Q118733587,,1,0,33.1
tem,Q184872,loisir,0.0,42.9,16.0,False,0,0.0,0.0,65.2,,,0,0,0.0
tem,Q30192,temps moyen de greenwich,0.0,22.2,14.2,False,0,0.0,0.0,54.5,Q12143;Q6313217,,2,0,40.7
tem,Q849737,tomographie d'émission monophotonique,0.0,85.7,12.8,False,0,0.0,0.0,74.5,Q2671652,,1,0,35.7
tem,Q11663,temps,0.0,75.0,18.6,False,0,0.0,0.0,87.3,Q1322005,,1,0,22.7
tem,Q1144385,taux de prothrombine,1.8,26.1,12.9,False,0,0.0,0.0,52.9,,,0,0,0.0
tem,Q182878,tempête de sable,0.0,31.6,15.7,False,0,0.0,0.0,61.5,Q16332653,,1,0,27.9
tem,Q28130149,temps-écran,0.0,42.9,11.9,False,0,0.0,0.0,52.8,,,0,0,0.0
tem,Q31621,coenraad jacob temminck,0.0,54.5,12.5,False,0,0.0,0.0,61.3,Q5,Q431,1,1,39.6
tem,Q1536,temps universel coordonné,0.0,21.4,16.2,False,0,0.0,0.0,60.2,Q12143;Q6313217,,2,0,40.7
tem,Q3281534,histoire moderne,0.0,37.5,16.1,False,0,0.0,0.0,68.3,Q11514315;Q11862829;Q4671286;Q6428674,,4,0,44.8
tem,Q21196,pâques,0.0,22.2,17.3,False,0,0.0,0.0,63.8,Q1825417;Q60075825,,2,0,37.9
tem,Q1755136,temps de céphaline activée,0.0,20.7,11.5,False,0,0.0,0.0,44.4,Q886837,,1,0,27.9
tem,Q185586,timiș,0.0,50.0,13.7,False,0,0.0,0.0,62.7,Q1776764,,1,0,22.7
tem,Q519157,templin,0.0,60.0,12.5,False,0,0.0,0.0,64.5,Q42744322;Q6882870,,2,0,37.2
tem,Q2680845,temple chinois,0.0,35.3,9.4,False,0,0.0,0.0,42.3,,,0,0,0.0
tem,Q51685,tempe,0.0,75.0,13.8,False,0,0.0,0.0,74.3,Q1093829;Q1549591,,2,0,36.0
tem,Q130011,orage magnétique,0.0,28.6,14.6,False,0,0.0,0.0,55.4,,,0,0,0.0
tem,Q260732,temps de travail,0.0,31.6,14.4,False,0,0.0,0.0,55.9,,,0,0,0.0
tem,Q3157041,tempête tropicale,0.0,30.0,8.7,False,0,0.0,0.0,38.0,,,0,0,0.0
tem,Q6807904,maison d'assemblée,0.0,66.7,6.5,False,0,0.0,0.0,46.1,,,0,0,0.0
tem,Q1076369,choc cytokinique,0.0,27.3,12.5,False,0,0.0,0.0,50.1,Q1931388,,1,0,28.7
